Date,News_items
2017-01-29 00:00:00,"['Sukses di Jabodetabek, Kendaraan Roda Tiga TVS King Tambah Bekasi dan Bengkulu - Tribunnews.com', ""Hero Xtreme 200S launch: Here's what we know so far - IBTimes India"", '2017 Hero Maestro Edge to be launched soon; retuned engine and ... - IBTimes India', 'Limousine service focused on details, customer satisfaction - theday.com', 'Car crashes into building before bursting into flames in Mt. Juliet - WKRN News 2']"
2017-01-30 00:00:00,"['5 alternatives to Yamaha FZ25 you should consider - Deccan Chronicle', 'Moon Hoon Designs South Korean Home to Look Like an Owl - Digital Trends', 'Baby Boomers Love These 5 Brands - The Motley Fool', 'Drive de CD/DVD não abre? Veja como resolver - TechTudo', 'Yamaha R1 Challenge: competición dentro de la competición - SoyMotero.net']"
2017-01-31 00:00:00,"['Over Rs two lakh crore sanctioned under Mudra scheme: President Pranab Mukherjee - Zee Business', 'New Hyundai Grand i10 spotted at dealership, launch in February 2017 - The Financial Express', 'Alta Motors unveils electric street tracker motorcycle - Overdrive', 'Can Cannabis Oil Really Treat Seizures? - Consumer Reports', 'Spied: Updated Chevrolet Beat spotted testing in India - Overdrive']"
2017-02-01 00:00:00,"['McLaren and BMW Partner On New Engine Technology | News ... - Digital Trends', ""TV's Salvage Hunters in element with Wiltshire vehicle hoard - Wiltshire Times"", 'TVS Indonesia luncurkan TVS Kargo beroda tiga - Lifestyle Kontan', '2017 Hero Passion Pro i3s BS IV launched in India at Rs 55,121 - Overdrive', 'Daytime Running Lamps (DRLs) are more than just a feature - Overdrive']"
2017-02-02 00:00:00,"['TVS Kargo Seharga Rp 35 Juta Resmi Diluncurkan - Tribunnews.com', 'Roda 3 untuk Bisnis Buatan TVS, Harga Rp 35 Juta - detikOto', 'Hero launches Passion Pro i3S at Rs 50,955 - The Financial Express', ""Waymo's cars are getting a lot better at autonomous driving - CNBC"", '13 killed in Buikwe accident - New Vision']"
2017-02-03 00:00:00,"['Maruti Suzuki Celerio Diesel DDiS 125 discontinued - The Financial Express', 'New Hyundai Xcent facelift spied testing, launch in late 2017 - The Financial Express', 'New Toyota Corolla Altis to be launched in March, with video - The Financial Express', '2017 Hero Passion Pro i3S with BS-IV engine launched at Rs 50955 ... - IBTimes India', '2017 Toyota Corolla Altis to be launched in India in March - Overdrive']"
2017-02-04 00:00:00,"['Spotted a traffic violation in Gurgaon? Send proof to police on WhatsApp - Hindustan Times', '2017 Mercedes-AMG C43 road test review - Overdrive', 'Honda Cars India to launch new City on February 14 - Autocar Professional', 'India-made Yamaha Crux Rev to be launched in Africa in April 2017 - Overdrive', 'Pentax K-70 Review - PCMag']"
2017-02-05 00:00:00,"['Sustainability is a practice and not curriculum: Azim Premji - Business Standard', 'TVS Kargo Resmi Dijual di Bandung - Autonesian.com', 'Technics reveals SL-1210GR turntable, on sale April for £1299 - What Hi-Fi?', 'Cadillac Wins, Lamborghini Makes Its Presence Felt at Rolex 24 at Daytona - Robb Report', ""The treadmill's weird history - Seacoastonline.com""]"
2017-02-06 00:00:00,"['2017 Hyundai Elantra diesel AT long term review: After 7,345km and three months - Overdrive', 'Online shop Kilimall eyes Valentine sales with price cuts - Business Daily', 'Las mejores motos para viajar - SoyMotero.net']"
2017-02-07 00:00:00,"['TVS Victor Long Term Review : 6300 Km Second Report - Motoroids', 'Bajaj Pulsar NS200 VS TVS Apache 200 4V: Price, Specifications and Features - The Financial Express', 'Toyota & Suzuki tie-up: Toyota seeks help of Maruti for improving supply chain - The Financial Express', 'Kunal Bahl expects Snapdeal to turn profitable in next 2 years - Zee Business', 'One gym is taking the workout world by storm - Business Insider India']"
2017-02-08 00:00:00,"['Hero MotoCorp Q3 results: Heres what to expect - Zee Business', 'Honda, Hitachi Automotive to form EV motor joint venture - The Financial Express', ""Tesla's top-end Model S sets Motor Trend acceleration record, beating Elon Musk's estimate - CNBC"", 'Big News! New Porsche 911 to ditch naturally aspirated engine - The Financial Express', 'Vizio TVs secretly tracked viewership in U.S. without consent - CBC.ca']"
2017-02-09 00:00:00,"['January 2017 Two Wheeler Sales Report | Rushlane - RushLane', 'TVS Akula 310 (Apache RTR 300) to be launched by mid-2017 ... - IBTimes India', 'No plans to partner with any Indian two-wheeler manufacturers, says ... - IBTimes India', 'LG announces Watch Style and Watch Sport smartwatches running ... - GSMArena.com', '2017 Audi A3 Convertible launched in India at Rs 47.98 lakh - Overdrive']"
2017-02-10 00:00:00,"['Sundaram-Clayton to expand capacity, to set up first overseas plant - Autocar Professional', 'Honda Activa 125 launched at Rs 56,954 - The Financial Express', '8 business icons who found success after age 40 - CNBC', 'Tax department summons Sania Mirza for alleged non-payment of service tax - Zee Business', 'Meet the new Royal Enfield Classic 500 Green Fly, it’s a stunner! - The Financial Express']"
2017-02-11 00:00:00,"['Upcoming scooters in India in 2017 - The Financial Express', 'Maruti Suzuki discontinues Ciaz RS - The Financial Express', 'Image gallery: India-bound Skoda Octavia facelift - Overdrive', 'Trump hugs ally Japan after easing US-China tensions - The Seattle Times', 'Classic KRON4: Bubb Rubb and Lil Sis talking whistle tips - KRON4']"
2017-02-12 00:00:00,"['2018 BMW G 310 R: FULL TEST - Cycle News', 'Turbocharger Engines- How do they Work - The Financial Express', '10 robots that are changing the world - TechRadar', 'LG founder bequeaths principle of harmony, sustainable growth - The Korea Herald', 'Prueba casco integral GIVI 50.4 Sniper: clase media a precio low cost - SoyMotero.net']"
2017-02-13 00:00:00,"['2018 Lamborghini URUS spied testing, to be showcased at 2017 Auto China - The Financial Express', 'Data AISI Ungkap 3.511 Suzuki GSX-R150 dan GSX-S15 Terjual Selama Januari - Tribunnews.com', 'Alepo, goles por bombas - Marca']"
2017-02-14 00:00:00,"['2017 Audi A4 diesel launched in India at Rs 40.20 lakh - Overdrive', 'Noida: A year after it was closed, the Sector 60/71 road opened to traffic - Hindustan Times', '2017 Honda City launched in India at Rs 8.49 lakh - Overdrive', 'Nissan X-Trail Hybrid likely to be launched in India in second half of 2017 - Overdrive', 'Sony MDR-Z1R review - What Hi-Fi?']"
2017-02-15 00:00:00,"['Maruti Suzuki Ertiga and Eeco now part of Haryana Police’s response fleet - The Financial Express', 'Sun Pharma Q3 net profit slips 5% to Rs 1,471 crore - The Financial Express', '2017 Honda City facelift first drive review - Overdrive', 'Sudbury Hospital opens new family room for stressed loved ones - CBC.ca', 'Vorstellung Harley-Davidson Road King Special: Nackter König - MOTORRAD']"
2017-02-16 00:00:00,"['TVS Apache RTR 200 4V with FI, ABS versions deliveries delayed ... - IBTimes India', '2018 Hyundai Sonata Facelift Accurately Rendered Before Official ... - Motoroids', 'Delhi to Kathmandu: Kawasaki Ninja 250R, Royal Enfield Thunderbird and a 2,400 km wild ride - The Financial Express', '‘We can provide top-end solutions that can help Indian industry integrate with global manufacturing.’ - Autocar Professional', 'Volkswagen Ameo TDI (diesel) review, better in most ways but falls short of perfection - The Financial Express']"
2017-02-17 00:00:00,"['Airtel expands 4G network to Maharashtra, Goa - Zee Business', 'Volvo V90 Cross Country set to launch in India by mid 2017 - The Financial Express', 'Terobosan TVS Gaet Alfamart - SWA.co.id', 'Recycling plant employees find $100K hidden inside a 1980s TV - CBC.ca', 'Smart Electric Drive Fortwo and Forfour (2017) review: Hands-on ... - Alphr']"
2017-02-18 00:00:00,"['Royal Enfield zooms past TVS Motors, becomes 4th largest ... - IBTimes India', 'Ferrari is world’s strongest auto brand, 7 brands from India in Top 100 list - Autocar Professional', ""Maruti Suzuki Swift tops popularity chart, Bajaj Pulsar is India's ... - IBTimes India"", 'Rajiv Bajaj’s ‘Mad in India’ jibe: The not so ‘Qute’ journey of his quadricycle ‘car’ - The Financial Express', ""Samsung family succession hits snag with chief's arrest - Phys.org""]"
2017-02-19 00:00:00,"['2017 KTM 200 Duke surfaces in new spy shots ahead of India ... - IBTimes India', 'Car Security Technology Cannot Protect Your Car From Thieves - Digital Trends', 'Una 500, tres MotoGP y una Superbike: ¿Es el garaje de tus sueños? - SoyMotero.net', 'Presenting ‘Indori’ And ‘Loopy’ From KR Customs - DriveSpark', 'India-Made Renault Kwid Is A Hit In South Africa - DriveSpark']"
2017-02-20 00:00:00,"['New Yamaha YZF R25 will get slipper clutch and USD forks - The Financial Express', 'MRF Racing contemplates racing series with JA Motorsport ... - Overdrive', 'Concordia University makes Indigenous students feel more welcome - CBC.ca', 'Unique Pavilion Built of More than 1,000 Recycled Pallets in India - Digital Trends', 'Indianola gym, storm shelter nears completion | Sports ... - Mcalester News Capital']"
2017-02-21 00:00:00,"['TVS Wego with BS-IV compliant engine launched at Rs 50,434 (Ex-Delhi) - ETAuto', 'Royal Enfield emerges as 4th largest motorcycle brand in India - indianautosblog.com', 'Dont have Aadhaar card? It will soon be single-point for e-payments - Zee Business', 'Haldirams leaves behind Hindustan Unilever, Nestle in traditional food market - Zee Business', 'Volkswagen says, it has fixed 470,000 cars in Britain affected by diesel scandal - Zee Business']"
2017-02-22 00:00:00,"['Sundaram-Clayton Announces Expansion and US Factory - Tires ... - Tires & Parts News', 'Tata Motors T1 Prima Truck Racing, where giants will collide on 19th March, 2017 - The Financial Express', 'Toyota to launch Corolla Altis facelift in March 2017 - The Financial Express', ""The new LCD Etch A Sketch Freestyle can't shake off the lies - The Verge"", 'The Ferrari 812 Superfast Is the Most Powerful Prancing Horse Ever Produced - Robb Report']"
2017-02-23 00:00:00,"['2017 TVS Wego: A closer look; prices, colours, new features and more - IBTimes India', 'Renault Kwid sells 1.3 lakh units since its launch - The Financial Express', 'This brain-computer interface lets paralysed people type faster than ... - TechRadar', 'KTM India to add 250 Duke, keep old 200 Duke in new three-bike ... - Overdrive', 'Horse Endurance Championship 2017 - Overdrive']"
2017-02-24 00:00:00,"['White Page International releases most admired brands and leaders 2016-17 - Business Standard', 'Tata Motors, Volkswagen tie-up, why Volkswagen when Tata owns Jaguar Land Rover? - The Financial Express', 'Maruti Suzuki Baleno RS bookings now open, expected to launch at Rs 9 lakh - The Financial Express', '2017 Ducati Multistrada 1200 Enduro road test review - Overdrive', 'Tata Nano XTA long term review: After 11,370km and 12 months - Overdrive']"
2017-02-25 00:00:00,"['Mangaluru: Another accident on airport road drives home need for ... - Daijiworld.com', 'Bajaj ‘Pulsar Festival of Speed’ on 26th February; where bikes, stunts and music come together - The Financial Express', 'IPhone Brain Surgery - Hackaday', 'Porsche Panamera Turbo S E-Hybrid | News, Specs, Performance ... - Digital Trends', 'AdVoice lanza la primera red de anuncios de telecomunicaciones ... - PR Newswire']"
2017-02-26 00:00:00,"['The perfect turntable for fumble-fingered audiophiles - CNET', 'Sabotage angle in train derailments gains currency after Narendra Modi states Kanpur train accident was a “conspiracy” - The Financial Express', ""Kim Jong Nam's alleged killers thought nerve agent was baby oil - New York Post"", 'Indesit Innex XWE 91483X Review - TrustedReviews', 'Tips for Avoiding Power Cord Problems - Consumer Reports']"
2017-02-27 00:00:00,"['Music company owner’s car confiscated for evading ₹40 lakh tax in Mumbai - Hindustan Times', '8 show-stopping details on the Peugeot Instinct concept - CAR Magazine', 'Google Assistant will be Available to Millions of English Speaking ... - Patently Apple', 'Kidnappers who killed boy for ransom; held in Delhi - The Financial Express', 'The RM Sotheby’s Automobile Auction at Amelia Island Is Set to Astound - Robb Report']"
2017-02-28 00:00:00,"['Airtel confirms no more roaming charges; shares drop nearly 3% - Zee Business', 'India-made BMW G310R showcased at Motobike Istanbul - indianautosblog.com', 'Raymond to launch online tailoring concierge services in select cities soon - Zee Business', 'Mumbai emerges at top richest Indian city with total wealth net-worth of $820 billion; Delhi takes second s... - Zee Business', '2017 Mercedes-AMG C43 Coupe Review: Turbocharged Torque ... - Digital Trends']"
2017-03-01 00:00:00,"['DSK Hyosung Aquila 250 Limited Edition launched at Rs 2.94 lakh, but, you cannot buy one! - The Financial Express', 'Tata Motors’ sports car Tamo Futuro will have design elements similar to Ferrari and Lamborghini! - The Financial Express', 'New Honda R&D centre to develop technologies such as autonomous driving and artificial intelligence - The Financial Express', '2017 KTM 200 Duke first ride review - Overdrive', 'Honda WR-V first drive review - Overdrive']"
2017-03-02 00:00:00,"['TVS Motors drops in domestic sales in February 2017, export grew by 9.8 percent - The Financial Express', 'Not worried about Bajaj, says Royal Enfield chief - Business Standard', '2017 TVS Jupiter to be launched soon with updated features; what ... - IBTimes India', 'Mumbai ranks 21st in the City Wealth Index ahead of Toronto, Washington DC, Moscow - Zee Business', 'Jaguar Land Rover unveils Ratan Tata’s passion project Range Rover Velar - The Indian Express']"
2017-03-03 00:00:00,"['Piramal Enterprises’s SFG invests Rs300 crore in Indo Shell | Mint - Mint', 'Yamahas domestic sales rises 20% in February on newly launched FZ25 - Zee Business', 'New Renault Captur to be unveiled at the 2017 Geneva ... - Motoroids', 'Range Rover Velar unveiled, India launch by 2018 - The Financial Express', 'Jeep Compass interior spied, watch video - The Financial Express']"
2017-03-04 00:00:00,"['2017 Yamaha FZ25 first ride review - Overdrive', ""Hospital TV bill leaves family frustrated: 'What they're charging is not right' - CBC.ca"", 'The new McLaren 720s has a cockpit straight from the Batmobile - Alphr', 'Toyota C-HR to launch in India by 2018, will compete with Hyundai Creta and Renault Duster - The Financial Express', 'Honda WR-V review, can the late comer win the race? - The Financial Express']"
2017-03-05 00:00:00,"['Best new phones and gadgets - news.com.au', 'Infiniti Unveils The Q60 Project Black S Concept — F1 Tech Set To Hit The Road - DriveSpark']"
2017-03-06 00:00:00,"['India’s Most Valuable CEOs: The Transformer - BW Businessworld', 'Air India to raise $470 million for purchasing four Boeing 787 planes - Zee Business', 'New Hyundai Elite i20 to receive new updates - The Financial Express', 'Penjualan Buruk, Honda Mobilio Stop Produksi di India - autonetmagz', 'General Motors Andina anuncia nuevo Comité Ejecutivo - AUTOS F1LATAM']"
2017-03-07 00:00:00,"[""India is now the epicentre of Honda's two-wheeler activity: Keita Muramatsu - Business Standard"", 'There is nothing to Enjoy about a zero star safety score for Chevrolet, says Global NCAP - Zee Business', 'Bajaj Boxer is coming back, Boxer X150 Cross caught testing in India - The Financial Express', 'Tata Hitachi rolls out 10,000th machine from Kharagpur plant - Business Standard', 'Mercedes-Benz to recall one million cars due to potential fire risk - The Financial Express']"
2017-03-08 00:00:00,"[""Trump effect? America goes down in 'best country' rankings - Business Today"", 'Pulsar brand to evolve with its customer base: Bajaj Auto’s Eric Vas - Autocar Professional', 'Spec Comparison: Yamaha FZ25 Vs TVS Apache RTR200 Vs Bajaj Dominar 400 Vs KTM 200 Duke - The Asian Age', '2017 Geneva Motor Show, Audi showcases six new models - The Financial Express', '2017 Geneva Motor Show: Suzuki unveils new Swift, Maruti to launch it in India this year - The Financial Express']"
2017-03-09 00:00:00,"['Accelerating Ahead - BW Businessworld', 'Arjun Ranga is CII Mysuru Chairman - Star of Mysore', 'Meet the McLaren 720S, after long a supercar that looks drop-dead gorgeous - The Financial Express', '2017 Geneva Motor Show: Alpine A110 sportscar showcased - Overdrive', 'New Audi Q3 launched in India at a price of Rs 34.20 lakh - The Financial Express']"
2017-03-10 00:00:00,"['CIA could listen through cellphones, smart TVs, WikiLeaks claims - CBC.ca', 'New Hyundai Santro coming back! i10 discontinued to make way - The Financial Express', 'The bell curve and why Maruti-Suzuki stays unbeatable: Part 2 - The Financial Express', 'Mega-yacht from ""Skyfall"" hits market for $9.4 million - CNBC', 'Rajnigandha Pan Masala mints Rs 300 cr success through spectacular Pulse candy success - The Financial Express']"
2017-03-11 00:00:00,"['2017 TVS Jupiter: From engine to features- what to expect? - IBTimes India', '7 of the best in-car systems from the Geneva Motor Show 2017 - What Hi-Fi?', ""The Duke's Quick Quarter Litre Surprise - Outlook India"", 'Image gallery: 2017 KTM 390 Duke first ride review - Overdrive', ""iPhone Maker Foxconn Manufacturing Evoke's Urban S Electric ... - Digital Trends""]"
2017-03-12 00:00:00,"['This Bugatti Chiron Inspired Niniette 66 Superyacht Costs Almost 10 ... - Motoroids', 'Animal conservation: Wildlife heroes going about the job in a unique way - The Financial Express', 'This climber lost his legs, so he built robotic replacements - New York Post', 'The weirdest Super Mario games ever - TechRadar', 'Supercarro da Aston Martin e da Red Bull se chamará Valkyrie - R7.com']"
2017-03-13 00:00:00,"['How India can play a key role in global automotive R&D - Autocar Professional', 'Production version of Tata Nexon spied, to launch in India soon - The Financial Express', ""Driving while distracted comes with a 'hangover' effect, AAA says - CNBC"", 'Greenhouse Gas Goals Are About To Be Blown Out Of The Smokestack - Forbes', 'Delphi: Luxury and adventures combine in a zippy Connemara ... - Independent.ie']"
2017-03-14 00:00:00,"['TVS Apache RTR 200 4V with FI, ABS versions start reaching ... - IBTimes India', ""Building India's Villages To Drive A Sustainable Future - BW Businessworld"", 'Meet the most powerful truck from Tata Motors, a 1000 horsepower Prima - The Financial Express', 'Coffee chains eye profitability by shutting loss-making stores - The Financial Express', 'The state of MGNREGA performance: If inefficient states perform at par, huge gains are possible - The Financial Express']"
2017-03-15 00:00:00,"['TVS re-launches BSIV compliant Jupiter in two new colours - Zee Business', 'Honda CBR 650F now selling at up to Rs 1 lakh discount - The Financial Express', ""Volkswagen's latest car looks like an Audi - The Verge"", 'Review: Prepd Is a $69 Lunchbox With Minimalist Feng Shui - Digital Trends', 'POLICE NEWS: Texting woman causes crash | Police News ... - Goshen News']"
2017-03-16 00:00:00,"['2017 Harley-Davidson Street Rod 750 launched at Rs 5.86 lakh - Autocar India', 'Bajaj Dominar 400 eats into 20% of Royal Enfield’s market share - The Financial Express', 'Why India isn’t ready to be an ‘Expressway’ country and it’s not the Government to blame - The Financial Express', '2017 Toyota Corolla Altis launched in India at Rs 15.87 lakh - Overdrive', '2017 Harley-Davidson Street Rod launched in India at Rs 5.86 lakh - Overdrive']"
