time_step,lstm_layers,lstm_units,kernel_initializer,regularizer,penalty,drop_out,drop_out_rate,learning_rate,loss,binary_accuracy,f1_score,roc_auc,val_loss,val_binary_accuracy,val_f1_score,val_roc_auc,Epoch
6,5,15,GlorotNormal,l1,0.001241967,FALSE,0.95,0.003296654,0.607416928,0.792666674,0.755695224,0.85527283,0.92307204,0.618421078,0.567164183,0.636080384,20
6,2,88,HeNormal,l2,0.028665617,FALSE,0.95,0.003833639,0.701631486,0.556666672,0.468425274,0.567985892,0.699069023,0.592105269,0.456140369,0.609418273,20
3,5,83,GlorotNormal,l2,0.042832803,FALSE,0.1,0.000516043,0.679387569,0.56021291,0.550645828,0.617122293,0.709907889,0.518987358,0.660714269,0.633653879,20
4,4,25,GlorotNormal,l1,0.001735903,FALSE,0,0.000411615,0.691948235,0.850865483,0.813021779,0.933895648,1.382903218,0.641025662,0.533333302,0.629605234,20
9,3,26,GlorotNormal,l1,0.001002095,TRUE,0.2,0.000621177,0.77435714,0.684702754,0.630094111,0.739964962,0.897752345,0.520547926,0.313725501,0.618993998,20
6,2,45,HeNormal,l1,0.001117668,FALSE,0.5,0.006429327,0.515059829,0.933333337,0.915110409,0.97930634,1.560337424,0.644736826,0.597014964,0.698060989,20
2,5,36,HeNormal,l2,0.00473731,FALSE,0.35,0.001335003,0.24632667,0.978058517,0.9715271,0.996899724,2.1318717,0.574999988,0.5,0.600000024,20
9,4,14,HeNormal,l2,0.007845101,TRUE,0.2,0.000450883,1.863916636,0.569138288,0.490923464,0.587734938,1.809716821,0.575342476,0.311111122,0.614489436,20
9,5,93,HeNormal,l2,0.03855459,TRUE,0.9,0.007013958,0.954101384,0.478957921,0.497422725,0.509644508,2.718532562,0.534246564,0.190476194,0.612612605,20
2,5,11,GlorotNormal,l1,0.003007449,TRUE,0.7,0.000116873,1.060488224,0.484042555,0.419161707,0.49631241,1.050971627,0.550000012,0.25000003,0.602812529,20
9,4,25,HeNormal,l1,0.001128413,FALSE,0.85,0.008174895,0.743466437,0.57648629,0.541907549,0.607867479,0.757249057,0.575342476,0.474576265,0.611111104,20
3,3,32,GlorotNormal,l2,0.021522832,TRUE,0.6,0.004281715,0.709866643,0.55821687,0.43053174,0.545642138,0.71002841,0.544303775,0.142857134,0.600961566,20
1,4,10,HeNormal,l2,0.012802433,TRUE,0.45,0.006753696,0.733556688,0.502990007,0.528967261,0.554671347,0.724145412,0.604938269,0.619047582,0.640548706,20
9,3,81,GlorotNormal,l1,0.002192104,FALSE,0.8,0.001929594,0.515245259,0.839011371,0.799667597,0.922401309,1.276910663,0.671232879,0.600000024,0.663663685,20
2,3,57,GlorotNormal,l1,0.001241611,TRUE,0.25,0.002768555,0.749484301,0.583776593,0.491883129,0.590478063,0.754962504,0.524999976,0.5,0.608437479,20
4,2,31,GlorotNormal,l2,0.068825866,TRUE,0.55,0.002990217,0.709370971,0.54926765,0.452708185,0.545342386,0.704845369,0.538461566,0.181818172,0.634868383,20
9,5,93,GlorotNormal,l2,0.072380279,TRUE,0.55,0.001623196,0.734810352,0.516366065,0.385398984,0.510801971,0.725188792,0.493150681,0.660550416,0.603603661,20
4,3,34,GlorotNormal,l2,0.01520946,TRUE,0.55,0.002830346,0.70788902,0.529960036,0.48391816,0.563519478,0.697023988,0.602564096,0.340425551,0.640131593,20
5,5,73,GlorotNormal,l2,0.060134526,TRUE,0.4,0.001266153,0.717457235,0.5616256,0.487538964,0.561750531,0.709130287,0.584415555,0.483870983,0.604251027,20
9,5,83,HeNormal,l2,0.013826038,TRUE,0.45,0.000914231,0.685098708,0.591182351,0.545994043,0.654817224,0.713364661,0.561643839,0.359999985,0.607357383,20
6,3,60,GlorotNormal,l1,0.00350291,FALSE,0.5,0.000155888,0.792614102,0.680666685,0.616493165,0.738653302,0.907460153,0.605263174,0.464285702,0.615304708,20
5,3,76,HeNormal,l2,0.01164973,TRUE,0.6,0.00470625,0.71113497,0.530979335,0.421052635,0.520643115,0.711397171,0.493506491,0.660869598,0.628205121,20
6,3,52,HeNormal,l2,0.001646897,FALSE,0.7,0.000372812,0.514187276,0.977333307,0.970588207,0.996320546,2.167998075,0.618421078,0.579710126,0.612188339,20
2,3,98,GlorotNormal,l2,0.008875244,TRUE,0.95,0.00073949,0.756265759,0.493351072,0.405616224,0.473817945,0.750185609,0.5,0.047619052,0.637499988,20
1,5,19,GlorotNormal,l1,0.001408159,TRUE,0.15,0.005387042,0.72268641,0.522259116,0.506520271,0.559102416,0.714826345,0.580246925,0.527777731,0.605182946,20
6,4,37,HeNormal,l2,0.014946695,FALSE,0.05,0.002166277,0.68365103,0.588,0.559829056,0.620300591,0.696279407,0.618421078,0.613333285,0.607686996,20
6,4,29,HeNormal,l1,0.002333488,FALSE,0.8,0.000368657,0.863708258,0.953333318,0.939655125,0.988800228,2.119699478,0.578947365,0.483870983,0.615650952,20
5,2,82,HeNormal,l1,0.037557038,FALSE,0.55,0.00013264,104.7632523,0.590939403,0.529141128,0.627224386,100.2308426,0.571428597,0.297872335,0.637651801,20
10,2,15,GlorotNormal,l2,0.004045389,TRUE,0,0.009966951,0.556369245,0.7974599,0.748964369,0.873070478,0.911560774,0.666666687,0.636363685,0.64864862,20
3,4,88,GlorotNormal,l2,0.00841483,TRUE,0.15,0.000868549,0.648337424,0.685961425,0.645112813,0.764370501,0.818495035,0.658227861,0.630137026,0.612179518,20
4,2,76,HeNormal,l2,0.096734311,TRUE,0.35,0.000160476,22.47971916,0.565912127,0.487421393,0.580877542,21.38382339,0.56410259,0.291666657,0.607236862,20
3,4,89,GlorotNormal,l2,0.006024723,FALSE,0.95,0.001048345,0.216030344,0.98735863,0.983435094,0.998899221,2.017625809,0.632911384,0.579710186,0.654807687,20
5,3,33,HeNormal,l2,0.04687979,FALSE,0.4,0.000265374,8.894913673,0.654896736,0.594043911,0.710910857,8.441349983,0.623376608,0.567164183,0.651147127,20
1,2,71,GlorotNormal,l2,0.003084175,FALSE,0.35,0.000599693,0.365431845,0.904318929,0.879999995,0.970993936,1.38209784,0.555555582,0.419354826,0.611890197,20
8,4,52,GlorotNormal,l2,0.005663063,FALSE,0.4,0.000816735,0.546363235,0.837783694,0.804505229,0.923893392,1.254948854,0.554054081,0.352941185,0.609649122,20
5,3,100,HeNormal,l2,0.009337117,FALSE,0.15,0.000900593,0.605474353,0.812791467,0.77573818,0.899879158,1.142908812,0.584415555,0.529411793,0.622469664,20
3,3,62,HeNormal,l1,0.004926946,TRUE,0.8,0.00018406,0.839791715,0.49900201,0.425629288,0.494764149,0.826510251,0.58227849,0.521739185,0.600961506,20
9,2,58,HeNormal,l2,0.013733775,TRUE,0.95,0.000211014,1.19125092,0.50434202,0.442105263,0.506082296,1.161298394,0.602739751,0.666666687,0.613363326,20
9,4,85,HeNormal,l1,0.001527581,TRUE,0.45,0.000236461,1.614967704,0.60788244,0.544608176,0.646472037,1.672084451,0.465753436,0,0.606981993,20
3,3,91,HeNormal,l2,0.004778201,FALSE,0.6,0.000390597,1.314682961,0.943446457,0.92741251,0.984164894,2.056228876,0.531645596,0.412698448,0.606410265,20
10,3,14,HeNormal,l1,0.044304086,TRUE,0.95,0.000105442,3.106670856,0.53877008,0.437194139,0.528447032,3.057489157,0.638888896,0.704545498,0.615830064,20
6,5,40,GlorotNormal,l1,0.015690408,TRUE,0.85,0.000127632,3.362411737,0.49333334,0.424242437,0.482502401,3.136355639,0.631578922,0.621621609,0.607686996,20
8,3,38,GlorotNormal,l2,0.010195868,TRUE,0.95,0.006519022,0.907093167,0.523364484,0.354430377,0.498137504,0.804250479,0.486486495,0.654545486,0.641447365,20
4,4,95,GlorotNormal,l2,0.037767832,TRUE,0.5,0.001982532,0.718918383,0.554593861,0.456539392,0.573289037,0.753577471,0.538461566,0.672727227,0.623355269,20
2,2,90,GlorotNormal,l2,0.079621968,TRUE,0.4,0.002461224,0.716889739,0.558510661,0.463651061,0.551514506,0.71309644,0.600000024,0.636363626,0.613125026,20
1,2,85,HeNormal,l2,0.001628783,FALSE,0.25,0.001354989,0.433254331,0.925581396,0.903614461,0.980424404,1.192492247,0.61728394,0.586666703,0.610670686,20
8,4,56,HeNormal,l2,0.05241918,FALSE,0.9,0.006217141,0.702306271,0.476635516,0.492228001,0.498277217,0.814231873,0.594594598,0.666666746,0.619517565,20
9,4,15,GlorotNormal,l1,0.004501933,TRUE,0.2,0.00082599,0.697094083,0.587842345,0.532221317,0.622229755,0.771633327,0.506849289,0,0.622372389,20
7,2,40,GlorotNormal,l2,0.027276465,FALSE,0.65,0.006852448,0.704966903,0.565710485,0.500383735,0.573935747,0.702300847,0.546666682,0.291666657,0.640825033,20
8,2,34,GlorotNormal,l2,0.006235315,TRUE,0.6,0.005666366,0.703156233,0.577436566,0.552650154,0.620840788,0.722957551,0.581081092,0.340425521,0.619517565,20
9,5,29,HeNormal,l1,0.067150831,FALSE,0.25,0.000253492,20.83008575,0.549098194,0.461292922,0.550223589,19.63375473,0.616438329,0.416666657,0.617867827,20
10,2,85,HeNormal,l2,0.00137776,FALSE,0.45,0.003284219,0.084748402,1,1,0.99999994,1.88288939,0.652777791,0.603174567,0.617760599,20
6,5,51,HeNormal,l2,0.003093311,TRUE,0.9,0.000611242,4.122141838,0.5,0.430956006,0.511868477,4.043420792,0.631578922,0.688888848,0.610457063,20
3,2,26,GlorotNormal,l2,0.00711982,FALSE,0.6,0.000994549,0.059338957,0.996673346,0.995655954,0.999975681,2.741939783,0.670886099,0.628571451,0.660897493,20
