,Date,Begining_Total_Amt,Begining_Cash_Amt,Begining_Long_Value,Begining_Short_Value,Begining_Margin,Long_Value_at_Open,Short_Value_at_Open,Margin_at_Open,Cash_at_Open,Long_Value_after_Close_Out,Short_Value_after_Close_Out,Margin_after_Close_Out,Cash_after_Close_Out,Long_Value_after_fill,Short_Value_after_fill,Margin_after_fill,Cash_after_fill,Long_Value_at_Close,Short_Value_at_Close,Margin_at_Close,Price_Adjustment,Ending_Cash_Amt,Ending_Total_Amt,P&L,Return
234,2019-12-05 00:00:00,121740.8585216351,23271.16162050443,84180.75085544586,72867.97429466248,14573.594858932496,84244.39138698578,73040.49770927429,14608.09954185486,23236.65693758207,84244.39138698578,73040.49770927429,14608.09954185486,23236.65693758207,84244.39138698578,73040.49770927429,14608.09954185486,23236.65693758207,84170.21068429947,73035.12999343872,14607.025998687745,-1450.8267355367425,21786.90374521244,120112.33591617574,-1628.5226054593659,-0.013376960087479208
235,2019-12-06 00:00:00,120112.33591617574,21786.90374521244,84170.21068429947,73035.12999343872,14607.025998687745,84902.96127080917,73462.7708568573,14692.554171371461,21701.375572528723,84902.96127080917,73462.7708568573,14692.554171371461,21701.375572528723,84902.96127080917,73462.7708568573,14692.554171371461,21701.375572528723,84790.66147470474,73361.85217475891,14672.370434951783,0.0,21721.559308948403,120406.06452526081,293.72860908506846,0.0024454491442915272
236,2019-12-09 00:00:00,120406.06452526081,21721.559308948403,84790.66147470474,73361.85217475891,14672.370434951783,84787.45924043655,73374.3588848114,14674.871776962282,21719.057966937904,84787.45924043655,73374.3588848114,14674.871776962282,21719.057966937904,84787.45924043655,73374.3588848114,14674.871776962282,21719.057966937904,84272.37042665482,73124.38136672974,14624.876273345948,403.46043796182494,22172.513908516063,120528.70472320188,122.64019794107298,0.0010185549907691192
237,2019-12-10 00:00:00,120528.70472320188,22172.513908516063,84272.37042665482,73124.38136672974,14624.876273345948,84220.04055690765,72989.82695198059,14597.965390396119,22199.42479146589,84220.04055690765,72989.82695198059,14597.965390396119,22199.42479146589,84220.04055690765,72989.82695198059,14597.965390396119,22199.42479146589,84100.82029008865,73132.28498077393,14626.456996154786,0.0,22170.933185707225,120349.25097259153,-179.45375061035156,-0.0014888880704598377
238,2019-12-11 00:00:00,120349.25097259153,22170.933185707225,84100.82029008865,73132.28498077393,14626.456996154786,84321.21921539307,73213.4267539978,14642.685350799562,22154.70483106245,79181.46921539307,68328.03106307983,13665.606212615969,23331.833490364206,98505.51964569092,76024.03106307983,15204.80621261597,7824.712710945261,98264.15111875534,76356.57922744751,15271.315845489502,0.0,7758.203078071729,120178.73123769011,-170.51973490141972,-0.0014168740854087582
239,2019-12-12 00:00:00,120178.73123769011,7758.203078071729,98264.15111875534,76356.57922744751,15271.315845489502,98307.72106075287,76137.44889450073,15227.489778900148,7802.029144661083,89595.48103237152,62615.369243621826,12523.073848724367,10983.839461189402,97360.60084438324,73463.54932785034,14692.70986557007,9827.247034492624,98084.83935499191,73951.92016029358,14790.384032058717,2574.561914045753,12304.13478204973,124235.61803581484,4056.8867981247313,0.03375711123211145
240,2019-12-13 00:00:00,124235.61803581484,12304.13478204973,98084.83935499191,73951.92016029358,14790.384032058717,98133.348944664,73959.62000465393,14791.924000930787,12302.59481317766,89991.12903499603,68904.68024635315,13780.936049270631,13012.185174994067,99110.91873836517,80333.6303653717,16066.726073074342,9378.715529242114,98948.9913430214,80805.70914459229,16161.141828918458,0.0,9284.299773397997,122980.81378563936,-1254.8042501754826,-0.010100197270429689
241,2019-12-16 00:00:00,122980.81378563936,9284.299773397997,98948.9913430214,80805.70914459229,16161.141828918458,99431.69845724106,81285.43832015991,16257.087664031984,9188.353938284472,99431.69845724106,81285.43832015991,16257.087664031984,9188.353938284472,99431.69845724106,81285.43832015991,16257.087664031984,9188.353938284472,99109.95935678482,81400.97011756897,16280.194023513795,0.0,9165.24757880266,122546.5208264261,-434.29295921325684,-0.0035313879120221748
242,2019-12-17 00:00:00,122546.5208264261,9165.24757880266,99109.95935678482,81400.97011756897,16280.194023513795,99264.66049194336,81382.20019340515,16276.44003868103,9169.001563635426,99264.66049194336,81382.20019340515,16276.44003868103,9169.001563635426,99264.66049194336,81382.20019340515,16276.44003868103,9169.001563635426,98895.87883329391,81400.26002311707,16280.052004623414,0.0,9165.389597693042,122333.1503973871,-213.37042903900146,-0.0017411382028643442
243,2019-12-18 00:00:00,122333.1503973871,9165.389597693042,98895.87883329391,81400.26002311707,16280.052004623414,99101.28023338318,81558.69002342224,16311.738004684448,9133.703597632008,92955.16002464294,73760.31025505066,14752.062051010133,10924.582790686207,101298.43964195251,81127.7500743866,16225.55001487732,7287.469175695973,100956.65870046616,81052.22044563293,16210.444089126588,0.0,7302.575101446706,122562.147207522,228.99681013489317,0.0018719113289490195
244,2019-12-19 00:00:00,122562.147207522,7302.575101446706,100956.65870046616,81052.22044563293,16210.444089126588,100884.60991096497,80997.21917533875,16199.44383506775,7313.5753555055435,100884.60991096497,80997.21917533875,16199.44383506775,7313.5753555055435,100884.60991096497,80997.21917533875,16199.44383506775,7313.5753555055435,101238.62976503372,81190.06945037842,16238.013890075685,0.0,7275.005300497609,122706.26926734408,144.12205982208252,0.0011759100432375367
245,2019-12-20 00:00:00,122706.26926734408,7275.005300497609,101238.62976503372,81190.06945037842,16238.013890075685,101333.7809047699,81514.39970397949,16302.8799407959,7210.139249777394,101333.7809047699,81514.39970397949,16302.8799407959,7210.139249777394,101333.7809047699,81514.39970397949,16302.8799407959,7210.139249777394,101770.27034044266,81635.1880493164,16327.037609863282,0.0,7185.981580710011,122792.79124381502,86.52197647094727,0.0007051145551694597
246,2019-12-23 00:00:00,122792.79124381502,7185.981580710011,101770.27034044266,81635.1880493164,16327.037609863282,101860.1712603569,81708.73894882202,16341.747789764406,7171.271400808888,96348.84108495712,76959.23905563354,15391.84781112671,8107.474440741139,102432.84108495712,83014.96088790894,16602.99217758179,6270.432283682423,102464.90942573547,82801.63645172119,16560.327290344238,0.0,6313.097170919975,123012.10902966937,219.3177858543495,0.001786080303516159
247,2019-12-24 00:00:00,123012.10902966937,6313.097170919975,102464.90942573547,82801.63645172119,16560.327290344238,102399.58905172348,82840.32583999634,16568.06516799927,6305.359293264943,91808.23918914795,74289.46580505371,14857.893161010745,8644.233858213978,98246.3895187378,81125.06608581543,16225.013217163088,11295.303357649404,98087.05937576294,80992.92697906494,16198.585395812988,0.0,11321.731178999504,124185.26102137621,1173.1519917068363,0.00953688218957276
248,2019-12-26 00:00:00,124185.26102137621,11321.731178999504,98087.05937576294,80992.92697906494,16198.585395812988,98286.68031311035,81104.75909423828,16220.951818847658,11299.364755964834,98286.68031311035,81104.75909423828,16220.951818847658,11299.364755964834,98286.68031311035,81104.75909423828,16220.951818847658,11299.364755964834,98496.41076278687,81073.8480834961,16214.76961669922,0.0,11305.546958113273,124513.691303969,328.430282592788,0.002644680052138029
249,2019-12-27 00:00:00,124513.691303969,11305.546958113273,98496.41076278687,81073.8480834961,16214.76961669922,98707.42026138306,81314.30679321289,16262.861358642578,11257.455216169914,98707.42026138306,81314.30679321289,16262.861358642578,11257.455216169914,98707.42026138306,81314.30679321289,16262.861358642578,11257.455216169914,98592.63980102539,81247.07566070557,16249.415132141114,0.0,11270.901442671378,124436.69276499805,-76.99853897094727,-0.0006183941554103846
250,2019-12-30 00:00:00,124436.69276499805,11270.901442671378,98592.63980102539,81247.07566070557,16249.415132141114,98540.36923980713,81338.1840209961,16267.63680419922,11252.679770613273,98540.36923980713,81338.1840209961,16267.63680419922,11252.679770613273,98540.36923980713,81338.1840209961,16267.63680419922,11252.679770613273,98111.69864273071,80992.71391296387,16198.542782592775,-1827.5022010575049,9494.271591162213,122382.61115338755,-2054.081611610498,-0.016507041178679384
251,2019-12-31 00:00:00,122382.61115338755,9494.271591162213,98111.69864273071,80992.71391296387,16198.542782592775,97950.84006118774,80952.26668548584,16190.45333709717,9502.361036657818,97950.84006118774,80952.26668548584,16190.45333709717,9502.361036657818,97950.84006118774,80952.26668548584,16190.45333709717,9502.361036657818,98176.77047729492,81135.8218383789,16227.164367675781,0.0,9465.650006079206,122304.57506253672,-78.03609085083008,-0.0006376403487013689
252,2020-01-02 00:00:00,122304.57506253672,9465.650006079206,98176.77047729492,81135.8218383789,16227.164367675781,98794.2102394104,81417.05671691895,16283.41134338379,9409.403030371197,98794.2102394104,81417.05671691895,16283.41134338379,9409.403030371197,98794.2102394104,81417.05671691895,16283.41134338379,9409.403030371197,99451.93069839478,81458.30248260498,16291.660496520997,0.0,9401.15387723399,123257.2546394105,952.6795768737793,0.007789402615451266
253,2020-01-03 00:00:00,123257.2546394105,9401.15387723399,99451.93069839478,81458.30248260498,16291.660496520997,98199.24180221558,80503.4458770752,16100.68917541504,9592.125198339947,98199.24180221558,80503.4458770752,16100.68917541504,9592.125198339947,98199.24180221558,80503.4458770752,16100.68917541504,9592.125198339947,98676.42169570923,81129.70123291016,16225.940246582031,0.0,9466.874127172956,122810.34688641978,-446.90775299072266,-0.003625812973833895
254,2020-01-06 00:00:00,122810.34688641978,9466.874127172956,98676.42169570923,81129.70123291016,16225.940246582031,97995.35080718994,80705.60475158691,16141.120950317383,9551.693423437604,97995.35080718994,80705.60475158691,16141.120950317383,9551.693423437604,97995.35080718994,80705.60475158691,16141.120950317383,9551.693423437604,98501.74889755249,81086.16138458252,16217.232276916504,0.0,9475.582096838483,122679.21393659068,-131.13294982910156,-0.0010677679296059548
255,2020-01-07 00:00:00,122679.21393659068,9475.582096838483,98501.74889755249,81086.16138458252,16217.232276916504,98281.96915435791,80914.49047088623,16182.898094177246,9509.916279577741,98281.96915435791,80914.49047088623,16182.898094177246,9509.916279577741,98281.96915435791,80914.49047088623,16182.898094177246,9509.916279577741,98157.96948623657,80961.14178466797,16192.228356933594,0.0,9500.586016821393,122460.45412518932,-218.75981140135264,-0.0017831856300809298
256,2020-01-08 00:00:00,122460.45412518932,9500.586016821393,98157.96948623657,80961.14178466797,16192.228356933594,98181.49949645996,81030.5195236206,16206.103904724121,9486.710469030866,98181.49949645996,81030.5195236206,16206.103904724121,9486.710469030866,98181.49949645996,81030.5195236206,16206.103904724121,9486.710469030866,98055.92952346802,81664.05755615234,16332.81151123047,0.0,9360.002862524518,121655.49839093638,-804.9557342529442,-0.006573189198123103
257,2020-01-09 00:00:00,121655.49839093638,9360.002862524518,98055.92952346802,81664.05755615234,16332.81151123047,98520.07977676392,81925.20825195312,16385.041650390627,9307.77272336436,98520.07977676392,81925.20825195312,16385.041650390627,9307.77272336436,98520.07977676392,81925.20825195312,16385.041650390627,9307.77272336436,98492.75937652588,81655.56663513184,16331.113327026367,0.0,9361.70104672862,122100.81916501475,445.32077407836914,0.00366050675857941
258,2020-01-10 00:00:00,122100.81916501475,9361.70104672862,98492.75937652588,81655.56663513184,16331.113327026367,98652.15922927856,81782.88787078857,16356.577574157716,9336.23679959727,98652.15922927856,81782.88787078857,16356.577574157716,9336.23679959727,98652.15922927856,81782.88787078857,16356.577574157716,9336.23679959727,97978.32083892822,81333.16578674316,16266.633157348633,0.0,9426.181216406354,121908.78147580578,-192.03768920896982,-0.0015727796956827782
259,2020-01-13 00:00:00,121908.78147580578,9426.181216406354,97978.32083892822,81333.16578674316,16266.633157348633,98091.1685256958,81372.49896240234,16274.49979248047,9418.314581274517,98091.1685256958,81372.49896240234,16274.49979248047,9418.314581274517,98091.1685256958,81372.49896240234,16274.49979248047,9418.314581274517,98741.17036819458,81785.57057952881,16357.114115905762,0.0,9335.700257849225,122219.22621228648,310.44473648069834,0.002546533011998891
260,2020-01-14 00:00:00,122219.22621228648,9335.700257849225,98741.17036819458,81785.57057952881,16357.114115905762,98505.62968063354,81740.43717956543,16348.087435913087,9344.7269378419,98505.62968063354,81740.43717956543,16348.087435913087,9344.7269378419,98505.62968063354,81740.43717956543,16348.087435913087,9344.7269378419,98647.4603805542,81970.71765136719,16394.14353027344,0.0,9298.670843481548,121940.36915280772,-278.85705947875977,-0.002281613688131228
261,2020-01-15 00:00:00,121940.36915280772,9298.670843481548,98647.4603805542,81970.71765136719,16394.14353027344,98456.26826477051,81954.28202819824,16390.85640563965,9301.957968115337,98456.26826477051,81954.28202819824,16390.85640563965,9301.957968115337,98456.26826477051,81954.28202819824,16390.85640563965,9301.957968115337,98585.30045700073,81886.83042907715,16377.36608581543,0.0,9315.448287939556,121962.09645154429,21.727298736572266,0.0001781797028131433
262,2020-01-16 00:00:00,121962.09645154429,9315.448287939556,98585.30045700073,81886.83042907715,16377.36608581543,98769.31121444702,82174.24802398682,16434.849604797364,9257.964768957623,98769.31121444702,82174.24802398682,16434.849604797364,9257.964768957623,98769.31121444702,82174.24802398682,16434.849604797364,9257.964768957623,99376.15989303589,82655.14876556396,16531.029753112794,126.07175181526691,9287.85637245746,122110.7093029079,148.61285136360675,0.0012185167005771408
263,2020-01-17 00:00:00,122110.7093029079,9287.85637245746,99376.15989303589,82655.14876556396,16531.029753112794,99399.21043777466,82777.8012084961,16555.56024169922,9263.325883871035,99399.21043777466,82777.8012084961,16555.56024169922,9263.325883871035,99399.21043777466,82777.8012084961,16555.56024169922,9263.325883871035,99531.29986572266,83130.8177947998,16626.16355895996,0.0,9192.722566610293,121790.18024635882,-320.52905654907227,-0.002624905369716326
264,2020-01-21 00:00:00,121790.18024635882,9192.722566610293,99531.29986572266,83130.8177947998,16626.16355895996,99075.39967346191,82926.56596374512,16585.313192749025,9233.57293282123,81869.96938323975,63455.52568054199,12691.1051361084,13766.658600179628,92110.55319976807,74171.01608657837,14834.203217315675,18678.397429342225,91891.89505004883,74439.11359786987,14887.822719573975,0.0,18624.777927083924,122455.29461638446,665.1143700256362,0.0054611494020308845
265,2020-01-22 00:00:00,122455.29461638446,18624.777927083924,91891.89505004883,74439.11359786987,14887.822719573975,92148.49932479858,74679.06764984131,14935.813529968262,18576.787116689637,92148.49932479858,74679.06764984131,14935.813529968262,18576.787116689637,92148.49932479858,74679.06764984131,14935.813529968262,18576.787116689637,91979.62504196167,74449.29852294922,14889.859704589844,0.0,18622.740942068056,122532.83968321796,77.5450668334961,0.0006332520539550488
266,2020-01-23 00:00:00,122532.83968321796,18622.740942068056,91979.62504196167,74449.29852294922,14889.859704589844,91645.03395080566,74226.51584625244,14845.303169250488,18667.29747740741,91645.03395080566,74226.51584625244,14845.303169250488,18667.29747740741,91645.03395080566,74226.51584625244,14845.303169250488,18667.29747740741,92477.37507629395,74665.36686706543,14933.073373413086,0.0,18579.527273244814,122814.52137343402,281.68169021606445,0.002298826102000829
267,2020-01-24 00:00:00,122814.52137343402,18579.527273244814,92477.37507629395,74665.36686706543,14933.073373413086,92605.29862213135,74699.51098251343,14939.902196502686,18572.698450155214,92605.29862213135,74699.51098251343,14939.902196502686,18572.698450155214,92605.29862213135,74699.51098251343,14939.902196502686,18572.698450155214,91439.41555023193,73727.76289176941,14745.552578353883,-912.044279986003,17855.003788318012,121802.12154268203,-1012.3998307519942,-0.008243323504666495
