,index,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq,Mean_Eq,Theta,Theta p-value,OU R-sq,Var_Eq
3715,122480,ELP,TDG,0.1054027839076974,1.0014647263950271,33.910655835847315,6.957804488332921e-154,0.6036605136386402,0.0479640677234709,-0.0109478311335724,0.0230998087700455,0.2162015721938629,-0.12635116729575102,5.5900472481880055,0.0,0.9562058590142987,0.04654902368530708
3716,122504,ELP,TRP,-0.3440211960119297,1.4113954675769325,28.095406853735263,1.9110566869888265e-119,0.5111217807878388,0.0381951296661237,-0.0254495403188973,0.001266219896394,0.2263132957332735,-0.3360894146187847,6.809898569044903,0.0,0.9472226967032474,0.03425709287849899
3717,122542,ELP,VLYPO,-0.3913355136784591,1.6745605444006613,24.01748749504343,3.873767233238775e-95,0.4331149635801795,0.0483744888621612,-0.0262774804324398,0.0005805261100242,0.1607759389700557,-0.3758396925167812,6.57015537492426,0.0,0.9517340543792839,0.03752353748755642
3718,122544,ELP,VOD,0.5021034121430115,1.1645120443050083,13.687141734281887,2.9737243384124075e-38,0.1988011508633376,0.0398356356410782,-0.0209884124373308,0.0012033018172968,0.1472409031209982,0.5627781113779967,5.200729241064962,0.0,0.9680136838199115,0.0438145306461546
3719,122561,ELP,WEC,-0.1583415235658172,1.2575202894458846,22.334802583753103,3.1639280686828826e-85,0.3978514413259292,0.0328491299048905,-0.021082318399852,0.0064997451720795,0.0841068301652624,-0.15256092107916877,6.924033265144553,0.0,0.9468115021458863,0.041835247695145225
3720,122610,ELS,EVRG,-0.5030273918651404,1.7310623926227129,41.39750801320709,2.0251419592645442e-196,0.6941776697832058,0.0036085470230127,-0.0233006536251065,0.0005342947854063,0.3049514948781406,-0.48945640598077167,8.934552842789016,0.0,0.9343300636543052,0.014475300130185028
3721,122640,ELS,FTS,-0.4550248373484998,1.479566641029238,56.85734241494323,4.551411137733517e-275,0.8106705281124116,0.0118648692854969,-0.0287467961524462,0.0003756248543861,0.3761355449960986,-0.45163128897132127,7.653387150810836,0.0,0.9407621134930348,0.009431611616884859
3722,122694,ELS,IFF,0.1470744094973818,1.3063922298466712,22.11122578634628,6.417285214600511e-84,0.3930411024568785,0.0403375410925494,-0.0164286377647127,0.002257449504374,0.1151099847158042,0.19622758919543123,4.890571133918753,0.0,0.9676973489637032,0.0252944290462295
3723,122735,ELS,KO,-0.5859538255539857,1.7819577478869923,45.79022861987487,4.4677213527418035e-220,0.7352498241644154,0.0180385500653132,-0.0224567847112117,0.0024283102938477,0.2693772987354405,-0.5737975947263546,8.055104539412838,0.0,0.9408445195824021,0.012485805321751907
3724,122746,ELS,LHX,-0.0816427732303,1.0306047547177364,49.87945697661883,3.670368698535992e-241,0.7671880174738106,0.0324713858839823,-0.0280447396314856,0.0005872532236024,0.2271476380523607,-0.0694854975571913,7.424730261970204,0.0,0.9314558751577089,0.013817631633135232
