,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq
242,A,GM,-1.5210542166257313,2.087396634786547,92.04868510398028,0.0,0.7711131182018822,0.0393063119366437,-0.00021326656620508123,0.857356618306594,0.10658096491879598
246,A,GRMN,0.1025722014647566,1.1426047852723722,262.3451682553363,0.0,0.9647462791214148,0.0313967051452413,-0.008046361434249728,0.003345228443255037,0.2670400457046901
249,A,GWW,-1.6133439591580667,2.566570026919012,118.9451230649288,0.0,0.849066272055718,0.0313818626809807,-0.002518606853581881,0.07808633077770626,0.14356241010298543
268,A,HUBB,-1.9633223982712185,2.259357224251516,176.58355686328815,0.0,0.9253637276787114,0.0010008953000713,-0.004221338081912598,0.02837399943439783,0.23381756234672757
271,A,IBN,-0.96816206946659,1.7252027934159613,112.11323231304571,0.0,0.833271203484535,0.0189092548040953,0.000831954627608468,0.5454523586342114,0.12680502672421012
281,A,INFY,-0.1301166002861338,1.6067953716131225,176.66384024728384,0.0,0.9254264903145918,0.04691996668443,-0.0042968888591722355,0.03310978499042495,0.1594016130624989
293,A,J,-0.7465211629296903,2.005118809667263,160.79452925915766,0.0,0.9113496446480333,0.0181917671211912,-0.002808540755864329,0.11962669973512609,0.19931875896420725
294,A,JBHT,-1.3592095856270534,1.708521120029005,165.6598781003385,0.0,0.9160496824930826,0.0025165832869721,-0.0046798071719547476,0.014294989445045798,0.15089501185896947
295,A,JBL,-0.7085288626946095,2.150573918700865,168.74116399143003,0.0,0.9188410709528274,0.0126493513833472,-0.0031667565897536363,0.09237368534596406,0.2055505776485319
310,A,KMX,-0.8694416665694022,1.5388147552795453,138.0645826365593,0.0,0.8834397768785422,0.0053030187980565,-0.00019143149334949552,0.9072771934965387,0.1301925861420098
315,A,LAMR,-0.722643632222035,1.1820960010530357,130.1131194717464,0.0,0.8706570059220999,0.0189035406006881,-0.0001982572957168042,0.8979599299618195,0.14428899385904448
317,A,LECO,-1.390067748256866,1.7903572121080065,167.7366863348881,0.0,0.9179461304860376,0.0069557593771949,-0.0038771086344932433,0.03404043170797846,0.23878861800678486
